Number of tests,Onwards transmission,Percentage of tests that are positive
1.0,5.65853375,0.005
2.0,5.65477125,0.005
3.0,5.65100875,0.005
4.0,5.647246250000001,0.005
5.0,5.64348375,0.005
6.0,5.63972125,0.005
7.0,5.6359587499999995,0.005
8.0,5.632196250000001,0.005
9.0,5.628433750000001,0.005
10.0,5.6246712500000005,0.005
11.0,5.62090875,0.005
12.0,5.617146249999999,0.005
13.0,5.613383750000001,0.005
14.0,5.609621250000001,0.005
15.0,5.60585875,0.005
16.0,5.60209625,0.005
17.0,5.598333750000001,0.005
18.0,5.59457125,0.005
19.0,5.590808750000001,0.005
20.0,5.58704625,0.005
21.0,5.58328375,0.005
22.0,5.579521250000001,0.005
23.0,5.575758749999999,0.005
24.0,5.571996250000001,0.005
25.0,5.56823375,0.005
26.0,5.5644712499999995,0.005
27.0,5.560708750000001,0.005
28.0,5.556946249999999,0.005
29.0,5.5531837500000005,0.004999999999999999
30.0,5.54942125,0.005
31.0,5.54565875,0.005
32.0,5.541896250000001,0.005
33.0,5.538133749999999,0.005
34.0,5.53437125,0.005
35.0,5.53060875,0.005
36.0,5.52684625,0.005
37.0,5.5230837500000005,0.005
38.0,5.51932125,0.005
39.0,5.51555875,0.005
40.0,5.51179625,0.005
41.0,5.50803375,0.005
42.0,5.50427125,0.005
43.0,5.50050875,0.005
44.0,5.49674625,0.005
45.0,5.492983750000001,0.005
46.0,5.48922125,0.005
47.0,5.48545875,0.005
48.0,5.48169625,0.005
49.0,5.47793375,0.005
50.0,5.474171250000001,0.005
51.0,5.47040875,0.005
52.0,5.46664625,0.005
53.0,5.46288375,0.005
54.0,5.459121250000001,0.005
55.0,5.455358750000001,0.005
56.0,5.45159625,0.005
57.0,5.44783375,0.005000000000000001
58.0,5.4440712499999995,0.004999999999999999
59.0,5.440308750000001,0.005
60.0,5.436546250000001,0.005
61.0,5.4327837500000005,0.005
62.0,5.42902125,0.005
63.0,5.425258749999999,0.005
64.0,5.421496250000001,0.005
65.0,5.417733750000001,0.005
66.0,5.41397125,0.005
67.0,5.41020875,0.005
68.0,5.406446250000001,0.005
69.0,5.40268375,0.005
70.0,5.398921250000001,0.005
71.0,5.39515875,0.005
72.0,5.39139625,0.005
73.0,5.387633749999999,0.005
74.0,5.383871249999999,0.005
75.0,5.380108750000001,0.005
76.0,5.37634625,0.005
77.0,5.3725837499999995,0.005
78.0,5.368821249999999,0.005
79.0,5.365058749999999,0.005
80.0,5.3612962500000005,0.005
81.0,5.35753375,0.005
82.0,5.35377125,0.005
83.0,5.350008750000001,0.005
84.0,5.34624625,0.005
85.0,5.34248375,0.005
86.0,5.33872125,0.005
87.0,5.33495875,0.005
88.0,5.3311962500000005,0.005
89.0,5.32743375,0.005
90.0,5.32367125,0.005
91.0,5.31990875,0.005
92.0,5.31614625,0.005
93.0,5.31238375,0.005
94.0,5.30862125,0.005
95.0,5.30485875,0.005
96.0,5.30109625,0.005
97.0,5.29733375,0.005
98.0,5.29357125,0.005
99.0,5.28980875,0.005
100.0,5.28604625,0.005
101.0,5.2823021825,0.005
102.0,5.278595709999999,0.005
103.0,5.2749279275,0.005
104.0,5.27129993,0.005
105.0,5.2677128125,0.005
106.0,5.264167670000001,0.005
107.0,5.2606655975,0.005
108.0,5.25720769,0.005
109.0,5.2537950425,0.005
110.0,5.25042875,0.005
111.0,5.2471099075000005,0.005
112.0,5.24383961,0.005
113.0,5.240618952500001,0.005
114.0,5.23744903,0.005000000000000001
115.0,5.2343309375,0.005000000000000001
116.0,5.23126577,0.004999999999999999
117.0,5.228254622500001,0.005
118.0,5.22529859,0.005
119.0,5.2223987675,0.005
120.0,5.21955625,0.005
121.0,5.2167721325,0.005
122.0,5.21404751,0.005
123.0,5.211383477500001,0.005
124.0,5.208781129999999,0.005
125.0,5.2062415625,0.005
126.0,5.203765870000001,0.005
127.0,5.2013551475,0.005
128.0,5.19901049,0.005
129.0,5.196732992499999,0.005
130.0,5.19452375,0.005
131.0,5.1923838575,0.005
132.0,5.19031441,0.005
133.0,5.1883165025,0.005
134.0,5.186391230000001,0.005
135.0,5.1845396875,0.005
136.0,5.182762970000001,0.005
137.0,5.1810621725,0.005
138.0,5.1794383900000005,0.005
139.0,5.177892717500001,0.005
140.0,5.1764262500000005,0.005
141.0,5.175040082500001,0.005
142.0,5.17373531,0.005
143.0,5.1725130275,0.005
144.0,5.171374330000001,0.005
145.0,5.1703203125,0.005
146.0,5.16935207,0.005
147.0,5.168470697499999,0.005
148.0,5.167677289999999,0.005
149.0,5.1669729425,0.005
150.0,5.16635875,0.005
151.0,5.1653782775,0.005
152.0,5.164474969999999,0.005
153.0,5.1636497425,0.005
154.0,5.1629035100000005,0.005
155.0,5.1622371875,0.005
156.0,5.16165169,0.005
157.0,5.1611479325000005,0.005
158.0,5.160726830000001,0.005
159.0,5.1603892975,0.005
160.0,5.16013625,0.005
161.0,5.1599686025,0.005
162.0,5.1598872700000005,0.005
163.0,5.1598931675,0.005
164.0,5.159987210000001,0.005
165.0,5.1601703125,0.005
166.0,5.16044339,0.005
167.0,5.1608073575,0.005
168.0,5.16126313,0.005
169.0,5.161811622500001,0.005
170.0,5.162453749999999,0.005
171.0,5.162927515,0.005
172.0,5.16283577,0.005
173.0,5.162816705,0.005
174.0,5.162871010000001,0.005
175.0,5.162999374999999,0.005
176.0,5.16320249,0.005
177.0,5.163481045,0.005
178.0,5.16383573,0.005
179.0,5.1642672350000005,0.005
180.0,5.164776250000001,0.005
181.0,5.1653634649999995,0.005
182.0,5.16602957,0.005
183.0,5.166775255,0.005
184.0,5.16760121,0.005
185.0,5.168508125000001,0.005
186.0,5.169496690000001,0.005
187.0,5.170083732500001,0.005
188.0,5.17000133,0.005
189.0,5.1699753475,0.005
190.0,5.170006250000001,0.005
191.0,5.1700945025000005,0.005
192.0,5.170240570000001,0.005
193.0,5.170444917499999,0.005
194.0,5.17070801,0.005
195.0,5.1710303125,0.005
196.0,5.17141229,0.005
197.0,5.171854407500001,0.005
198.0,5.172357129999999,0.005
199.0,5.1729209224999995,0.005
200.0,5.17354625,0.005
201.0,5.1732235525,0.005000000000000001
202.0,5.172943170000001,0.005
203.0,5.172705417500001,0.005000000000000001
204.0,5.17251061,0.005
205.0,5.1723590625,0.004999999999999999
206.0,5.17225109,0.005
207.0,5.1721870075,0.004999999999999999
208.0,5.172167130000001,0.005
209.0,5.172191772500001,0.004999999999999999
210.0,5.172261250000001,0.005
211.0,5.1723758774999995,0.005
212.0,5.17230277,0.005
213.0,5.171309417500001,0.005
214.0,5.170340210000001,0.005
215.0,5.169395312500001,0.005
216.0,5.16847489,0.005
217.0,5.1675791075,0.005
218.0,5.16670813,0.005
219.0,5.1658621225,0.005
220.0,5.165041250000001,0.005
221.0,5.164245677499999,0.005
222.0,5.16347557,0.005
223.0,5.162443422500001,0.005
224.0,5.16117017,0.005
225.0,5.1599134375,0.005
226.0,5.158673329999999,0.005
227.0,5.1574499524999995,0.005
228.0,5.15624341,0.005000000000000001
229.0,5.1550538075,0.005
230.0,5.15388125,0.005000000000000001
231.0,5.1527258425,0.005
232.0,5.15158769,0.004999999999999999
233.0,5.14969625,0.005
234.0,5.14749625,0.005
235.0,5.14529625,0.005
236.0,5.14309625,0.005
237.0,5.14089625,0.005
238.0,5.138696250000001,0.005
239.0,5.1364962499999995,0.005
240.0,5.13429625,0.005
241.0,5.13209625,0.005
242.0,5.12989625,0.005
243.0,5.1276962500000005,0.005
244.0,5.125496249999999,0.005
245.0,5.12329625,0.005
246.0,5.121096250000001,0.005
247.0,5.11889625,0.005
248.0,5.11669625,0.005
249.0,5.114496249999999,0.005
250.0,5.11229625,0.005
251.0,5.11009625,0.005
252.0,5.10789625,0.005
253.0,5.10569625,0.005
254.0,5.10349625,0.005
255.0,5.10129625,0.005
256.0,5.0990962500000006,0.005
257.0,5.0968962499999995,0.005
258.0,5.09469625,0.005
259.0,5.09249625,0.005
260.0,5.090296250000001,0.005
261.0,5.088096250000001,0.005
262.0,5.085896249999999,0.005
263.0,5.08369625,0.005
264.0,5.08149625,0.005
265.0,5.0792962500000005,0.005
266.0,5.07709625,0.005
267.0,5.074896249999999,0.005
268.0,5.07269625,0.005
269.0,5.070496250000001,0.005
270.0,5.06829625,0.005
271.0,5.066096250000001,0.005
272.0,5.063896249999999,0.005
273.0,5.06169625,0.005
274.0,5.0594962500000005,0.005
275.0,5.05729625,0.005
276.0,5.05509625,0.005
277.0,5.05289625,0.005
278.0,5.05069625,0.005
279.0,5.048496250000001,0.005
280.0,5.046296249999999,0.005
281.0,5.04409625,0.005
282.0,5.04189625,0.005
283.0,5.03969625,0.005
284.0,5.037496250000001,0.005
285.0,5.03529625,0.005
286.0,5.03309625,0.005
287.0,5.03089625,0.005
288.0,5.02869625,0.005
289.0,5.026496250000001,0.005
