Number of tests,Onwards transmission,Percentage of tests that are positive
1.0,0.7960036049999999,0.02
2.0,0.7869736049999999,0.02
3.0,0.7779436049999999,0.02
4.0,0.7689136050000001,0.02
5.0,0.7598836050000001,0.02
6.0,0.750853605,0.02
7.0,0.741823605,0.02
8.0,0.741372105,0.0175625
9.0,0.7409206049999999,0.01566666666666667
10.0,0.740469105,0.014150000000000001
11.0,0.7400176049999999,0.01290909090909091
12.0,0.7395661050000001,0.011875000000000002
13.0,0.7391146049999999,0.011000000000000001
14.0,0.7386631049999998,0.01025
15.0,0.7382116049999999,0.009600000000000001
16.0,0.7377601049999999,0.009031250000000001
17.0,0.7373086050000001,0.008529411764705883
18.0,0.7368571049999999,0.008083333333333335
19.0,0.7364056049999999,0.007684210526315791
20.0,0.735954105,0.007325000000000001
21.0,0.735502605,0.007000000000000001
22.0,0.7350511049999999,0.006704545454545455
23.0,0.734599605,0.006434782608695653
24.0,0.7341481049999998,0.006187500000000001
25.0,0.733696605,0.005960000000000001
26.0,0.7332451049999998,0.005750000000000001
27.0,0.7327936049999998,0.005555555555555557
28.0,0.732342105,0.0053750000000000004
29.0,0.7318906049999999,0.0052068965517241385
30.0,0.7314391049999999,0.005050000000000001
31.0,0.7309876049999999,0.004903225806451614
32.0,0.7305361049999999,0.004765625000000001
33.0,0.730084605,0.004636363636363637
34.0,0.729633105,0.0045147058823529415
35.0,0.729181605,0.004400000000000001
36.0,0.7287301049999999,0.004291666666666668
37.0,0.7282786049999999,0.00418918918918919
38.0,0.727827105,0.004092105263157895
39.0,0.7273756049999999,0.004000000000000001
40.0,0.7269241049999998,0.003912500000000001
41.0,0.726472605,0.0038292682926829276
42.0,0.7260211049999999,0.0037500000000000007
43.0,0.7255696049999999,0.0036744186046511634
44.0,0.725118105,0.0036022727272727274
45.0,0.7246666049999999,0.003533333333333333
46.0,0.7242151050000001,0.0034673913043478262
47.0,0.7237636049999999,0.003404255319148936
48.0,0.7233121049999999,0.00334375
49.0,0.7228606049999999,0.003285714285714286
50.0,0.7224091049999999,0.0032300000000000002
51.0,0.7219576050000001,0.003176470588235294
52.0,0.7215061049999999,0.003125
53.0,0.7210546049999998,0.0030754716981132076
54.0,0.720603105,0.003027777777777778
55.0,0.720151605,0.002981818181818182
56.0,0.7197001049999998,0.0029375
57.0,0.719248605,0.0028947368421052633
58.0,0.7187971049999998,0.002853448275862069
59.0,0.718345605,0.0028135593220338984
60.0,0.717894105,0.002775
61.0,0.7174426049999999,0.002737704918032787
62.0,0.716991105,0.0027016129032258066
63.0,0.7165396049999999,0.002666666666666667
64.0,0.7160881050000001,0.0026328125
65.0,0.7156366049999999,0.0026000000000000003
66.0,0.7151851049999999,0.0025681818181818184
67.0,0.7147336049999999,0.0025373134328358212
68.0,0.7142821049999999,0.002507352941176471
69.0,0.7138306049999998,0.0024782608695652175
70.0,0.7133791049999999,0.0024500000000000004
71.0,0.7129276049999999,0.002422535211267606
72.0,0.712476105,0.0023958333333333336
73.0,0.7120246049999999,0.00236986301369863
74.0,0.7115731049999999,0.0023445945945945947
75.0,0.711121605,0.00232
76.0,0.7106701049999999,0.0022960526315789474
77.0,0.710218605,0.002272727272727273
78.0,0.7097671049999998,0.0022500000000000003
79.0,0.7093156049999998,0.002227848101265823
80.0,0.708864105,0.0022062500000000003
81.0,0.7084126049999998,0.0021851851851851854
82.0,0.7079611049999999,0.0021646341463414636
83.0,0.7075096049999999,0.0021445783132530124
84.0,0.7070581049999999,0.002125
85.0,0.7066066049999999,0.0021058823529411766
86.0,0.7061551049999999,0.0020872093023255817
87.0,0.7057036049999998,0.0020689655172413794
88.0,0.705252105,0.002051136363636364
89.0,0.704800605,0.0020337078651685397
90.0,0.7043491049999999,0.002016666666666667
91.0,0.7038976049999999,0.002
92.0,0.7034461049999998,0.001983695652173913
93.0,0.702994605,0.001967741935483871
94.0,0.7025431049999998,0.0019521276595744683
95.0,0.7020916049999999,0.0019368421052631578
96.0,0.701640105,0.001921875
97.0,0.7011886049999999,0.0019072164948453609
98.0,0.700737105,0.0018928571428571427
99.0,0.7002856049999999,0.0018787878787878789
100.0,0.6998341049999999,0.001865
101.0,0.6993826049999999,0.0018514851485148514
102.0,0.6989311049999999,0.001838235294117647
103.0,0.698479605,0.001825242718446602
104.0,0.6980281049999999,0.0018125
105.0,0.697576605,0.0018
106.0,0.697125105,0.0017877358490566038
107.0,0.696673605,0.0017757009345794393
108.0,0.6962221049999999,0.0017638888888888888
109.0,0.695770605,0.0017522935779816515
110.0,0.695319105,0.001740909090909091
111.0,0.694867605,0.0017297297297297297
112.0,0.694416105,0.00171875
113.0,0.6939646049999999,0.0017079646017699116
114.0,0.693513105,0.0016973684210526317
115.0,0.6930616049999999,0.0016869565217391305
116.0,0.6926101049999999,0.0016767241379310345
117.0,0.6921586049999999,0.0016666666666666668
118.0,0.691707105,0.0016567796610169492
119.0,0.691255605,0.0016470588235294118
120.0,0.690804105,0.0016375
121.0,0.690352605,0.0016280991735537192
122.0,0.6899011049999999,0.0016188524590163935
123.0,0.6894496050000001,0.0016097560975609757
124.0,0.6889981049999999,0.0016008064516129033
125.0,0.6885466049999999,0.001592
126.0,0.6880951049999999,0.0015833333333333335
127.0,0.687643605,0.0015748031496062994
128.0,0.6871921049999999,0.00156640625
129.0,0.6867406049999999,0.001558139534883721
130.0,0.686289105,0.0015500000000000002
131.0,0.685837605,0.0015419847328244276
132.0,0.6853861050000001,0.0015340909090909092
133.0,0.684934605,0.0015263157894736842
134.0,0.6844831049999999,0.0015186567164179106
135.0,0.6840316049999999,0.0015111111111111113
136.0,0.683580105,0.0015036764705882355
137.0,0.6831286049999999,0.0014963503649635037
138.0,0.6826771049999999,0.0014891304347826088
139.0,0.682225605,0.0014820143884892087
140.0,0.681774105,0.0014750000000000002
141.0,0.681322605,0.0014680851063829789
142.0,0.6808711049999999,0.001461267605633803
143.0,0.680419605,0.0014545454545454547
144.0,0.6799681049999999,0.0014479166666666668
145.0,0.679516605,0.0014413793103448278
146.0,0.679065105,0.0014349315068493153
147.0,0.6786136049999999,0.0014285714285714288
148.0,0.678162105,0.0014222972972972973
149.0,0.677710605,0.0014161073825503358
150.0,0.677259105,0.0014100000000000002
151.0,0.6768076049999999,0.0014039735099337749
152.0,0.676356105,0.001398026315789474
153.0,0.6759046049999999,0.001392156862745098
154.0,0.6754531049999999,0.0013863636363636365
155.0,0.6750016049999998,0.0013806451612903227
156.0,0.6745501049999999,0.0013750000000000001
157.0,0.674098605,0.001369426751592357
158.0,0.6736471049999999,0.0013639240506329116
159.0,0.6731956049999999,0.001358490566037736
160.0,0.6727441049999999,0.0013531250000000002
161.0,0.672292605,0.001347826086956522
162.0,0.671841105,0.0013425925925925927
163.0,0.671389605,0.0013374233128834357
164.0,0.6709381049999998,0.0013323170731707318
165.0,0.670486605,0.0013272727272727275
166.0,0.670035105,0.0013222891566265062
167.0,0.6695836049999999,0.001317365269461078
168.0,0.6691321049999999,0.0013125
169.0,0.6686806049999999,0.0013076923076923079
170.0,0.668229105,0.0013029411764705883
171.0,0.6677776049999999,0.001298245614035088
172.0,0.6673261049999999,0.0012936046511627909
173.0,0.666874605,0.0012890173410404625
174.0,0.666423105,0.00128448275862069
175.0,0.665971605,0.00128
176.0,0.6655201049999999,0.001275568181818182
177.0,0.6650686049999999,0.0012711864406779662
178.0,0.6646171049999999,0.0012668539325842699
179.0,0.664165605,0.0012625698324022349
180.0,0.6637141049999999,0.0012583333333333335
181.0,0.6632626049999999,0.00125414364640884
182.0,0.662811105,0.0012500000000000002
183.0,0.662359605,0.0012459016393442624
184.0,0.661908105,0.0012418478260869566
185.0,0.6614566049999999,0.0012378378378378378
186.0,0.6610051049999999,0.0012338709677419356
187.0,0.660553605,0.0012299465240641712
188.0,0.660102105,0.001226063829787234
189.0,0.659650605,0.0012222222222222222
190.0,0.6591991049999999,0.001218421052631579
191.0,0.658747605,0.0012146596858638745
192.0,0.658296105,0.0012109375
193.0,0.657844605,0.0012072538860103627
194.0,0.6573931049999999,0.0012036082474226805
195.0,0.656941605,0.0012000000000000001
196.0,0.656490105,0.0011964285714285716
197.0,0.656038605,0.0011928934010152284
198.0,0.655587105,0.0011893939393939396
199.0,0.6551356049999999,0.001185929648241206
200.0,0.654684105,0.0011825000000000002
201.0,0.6542326049999999,0.0011791044776119403
202.0,0.653781105,0.001175742574257426
203.0,0.6533296049999999,0.0011724137931034483
204.0,0.652878105,0.0011691176470588235
205.0,0.652426605,0.0011658536585365854
206.0,0.651975105,0.001162621359223301
207.0,0.651523605,0.0011594202898550727
208.0,0.6510721049999999,0.0011562500000000002
209.0,0.6506206050000001,0.00115311004784689
210.0,0.6501691049999999,0.0011500000000000002
211.0,0.6497176049999999,0.0011469194312796209
212.0,0.6492661049999999,0.001143867924528302
213.0,0.648814605,0.0011408450704225353
214.0,0.6483631049999999,0.0011378504672897197
215.0,0.6479116049999999,0.0011348837209302326
216.0,0.647460105,0.0011319444444444443
217.0,0.647008605,0.001129032258064516
218.0,0.6465571050000001,0.0011261467889908258
219.0,0.646105605,0.0011232876712328767
220.0,0.645654105,0.0011204545454545454
221.0,0.6452026049999999,0.0011176470588235294
222.0,0.644751105,0.0011148648648648648
223.0,0.6442996049999999,0.0011121076233183856
224.0,0.6438481049999999,0.001109375
225.0,0.643396605,0.0011066666666666666
226.0,0.642945105,0.0011039823008849557
227.0,0.642493605,0.0011013215859030838
228.0,0.642042105,0.0010986842105263157
229.0,0.641590605,0.0010960698689956331
230.0,0.6411391049999999,0.0010934782608695653
231.0,0.6406876050000001,0.001090909090909091
232.0,0.6402361049999999,0.0010883620689655172
233.0,0.639784605,0.0010858369098712447
234.0,0.639333105,0.0010833333333333333
235.0,0.638881605,0.0010808510638297872
236.0,0.638430105,0.0010783898305084746
237.0,0.637978605,0.0010759493670886076
238.0,0.637527105,0.0010735294117647058
239.0,0.637075605,0.0010711297071129707
240.0,0.6366241049999999,0.00106875
241.0,0.6361726050000001,0.001066390041493776
242.0,0.635721105,0.0010640495867768596
243.0,0.635269605,0.0010617283950617284
244.0,0.6348181049999999,0.0010594262295081968
245.0,0.634366605,0.0010571428571428572
246.0,0.633915105,0.0010548780487804879
247.0,0.633463605,0.0010526315789473684
248.0,0.633012105,0.0010504032258064515
249.0,0.632560605,0.0010481927710843373
250.0,0.6321091050000001,0.001046
251.0,0.631657605,0.0010438247011952191
252.0,0.631206105,0.0010416666666666667
253.0,0.6307546049999999,0.0010395256916996048
254.0,0.630303105,0.0010374015748031496
255.0,0.6298516049999999,0.001035294117647059
256.0,0.629400105,0.001033203125
257.0,0.6289486049999999,0.0010311284046692609
258.0,0.628497105,0.0010290697674418606
259.0,0.6280456050000001,0.0010270270270270271
260.0,0.627594105,0.001025
261.0,0.627142605,0.0010229885057471265
262.0,0.6266911049999999,0.0010209923664122138
263.0,0.6262396050000001,0.0010190114068441066
264.0,0.6257881049999999,0.0010170454545454545
265.0,0.625336605,0.0010150943396226417
266.0,0.6248851049999999,0.0010131578947368421
267.0,0.624433605,0.0010112359550561798
268.0,0.623982105,0.0010093283582089552
269.0,0.623530605,0.0010074349442379183
270.0,0.623079105,0.0010055555555555555
271.0,0.622627605,0.001003690036900369
272.0,0.6221761049999999,0.0010018382352941176
273.0,0.621724605,0.001
274.0,0.621273105,0.000998175182481752
275.0,0.6208216049999999,0.0009963636363636364
276.0,0.620370105,0.0009945652173913044
277.0,0.619918605,0.0009927797833935018
278.0,0.619467105,0.0009910071942446045
279.0,0.619015605,0.000989247311827957
280.0,0.6185641049999999,0.0009875
281.0,0.618112605,0.0009857651245551602
282.0,0.617661105,0.0009840425531914894
283.0,0.617209605,0.000982332155477032
284.0,0.616758105,0.0009806338028169016
285.0,0.6163066049999999,0.0009789473684210528
286.0,0.615855105,0.0009772727272727275
287.0,0.615403605,0.0009756097560975611
288.0,0.614952105,0.0009739583333333334
289.0,0.6145006049999999,0.0009723183391003461
290.0,0.614049105,0.0009706896551724139
291.0,0.613597605,0.0009690721649484537
292.0,0.6131461049999999,0.0009674657534246577
293.0,0.612694605,0.0009658703071672356
294.0,0.6122431049999999,0.0009642857142857144
295.0,0.6117916050000001,0.0009627118644067798
296.0,0.611340105,0.0009611486486486486
297.0,0.610888605,0.0009595959595959597
298.0,0.6104371049999999,0.0009580536912751677
299.0,0.609985605,0.0009565217391304349
300.0,0.609534105,0.0009549999999999999
301.0,0.609082605,0.0009534883720930233
302.0,0.608631105,0.0009519867549668873
303.0,0.608179605,0.0009504950495049506
304.0,0.607728105,0.0009490131578947367
305.0,0.6072766049999999,0.0009475409836065575
306.0,0.606825105,0.0009460784313725489
307.0,0.6063736049999999,0.0009446254071661239
308.0,0.606372702,0.0009415616883116883
309.0,0.606371799,0.0009385177993527509
310.0,0.606370896,0.0009354935483870968
311.0,0.606369993,0.0009324887459807075
312.0,0.60636909,0.0009295032051282051
313.0,0.606368187,0.0009265367412140576
314.0,0.606367284,0.0009235891719745223
315.0,0.6063663810000001,0.0009206603174603176
316.0,0.6063654780000001,0.0009177500000000001
317.0,0.6063645750000001,0.000914858044164038
318.0,0.6063636720000001,0.0009119842767295599
319.0,0.606362769,0.0009091285266457682
320.0,0.606361866,0.000906290625
321.0,0.606360963,0.0009034704049844238
322.0,0.6063600600000001,0.0009006677018633541
323.0,0.6063591570000001,0.0008978823529411766
324.0,0.6063582540000001,0.0008951141975308643
325.0,0.606357351,0.0008923630769230771
326.0,0.606356448,0.0008896288343558283
327.0,0.606355545,0.0008869113149847096
328.0,0.6063546419999999,0.0008842103658536586
329.0,0.6063537390000001,0.0008815258358662616
330.0,0.606352836,0.0008788575757575759
331.0,0.606351933,0.0008762054380664654
332.0,0.60635103,0.0008735692771084338
333.0,0.606350127,0.0008709489489489491
334.0,0.6063492239999999,0.0008683443113772457
335.0,0.606348321,0.0008657552238805971
336.0,0.606347418,0.0008631815476190477
337.0,0.606346515,0.0008606231454005935
338.0,0.606345612,0.0008580798816568048
339.0,0.606344709,0.0008555516224188791
340.0,0.6063438059999999,0.0008530382352941177
341.0,0.6063429029999999,0.0008505395894428153
342.0,0.606342,0.0008480555555555557
343.0,0.606341097,0.0008455860058309039
344.0,0.606340194,0.0008431308139534885
345.0,0.6063392910000001,0.0008406898550724638
346.0,0.606338388,0.0008382630057803469
347.0,0.606337485,0.0008358501440922191
348.0,0.606336582,0.0008334511494252875
349.0,0.6063356790000001,0.0008310659025787966
350.0,0.6063347760000001,0.0008286942857142858
351.0,0.6063338730000001,0.0008263361823361824
352.0,0.60633297,0.0008239914772727275
353.0,0.606332067,0.0008216600566572238
354.0,0.606331164,0.0008193418079096047
355.0,0.6063302610000001,0.0008170366197183099
356.0,0.6063293580000001,0.0008147443820224721
357.0,0.606328455,0.0008124649859943978
358.0,0.606327552,0.0008101983240223465
359.0,0.606326649,0.0008079442896935934
360.0,0.606325746,0.000805702777777778
361.0,0.6063248429999999,0.0008034736842105264
362.0,0.60632394,0.0008012569060773482
363.0,0.6063230370000001,0.0007990523415977962
364.0,0.606322134,0.0007968598901098901
365.0,0.606321231,0.0007946794520547946
366.0,0.606320328,0.0007925109289617486
367.0,0.6063194249999999,0.0007903542234332427
368.0,0.6063185219999999,0.0007882092391304349
369.0,0.6063176190000001,0.0007860758807588077
370.0,0.606316716,0.0007839540540540541
371.0,0.606315813,0.0007818436657681942
372.0,0.60631491,0.000779744623655914
373.0,0.6063140069999999,0.0007776568364611261
374.0,0.6063131039999999,0.0007755802139037433
